id,prefix,section,checkpoint,template_tool,template_priority,tier,collector
ANA-01,ANA,"01. Analytics, Tracking & Measurement",Google Tag Manager,Manual Review,Medium,A,tagdetect: GTM container id in HTML
ANA-02,ANA,"01. Analytics, Tracking & Measurement",Google Analytics,Manual Review,Medium,A,tagdetect: gtag/GA4 measurement id
ANA-03,ANA,"01. Analytics, Tracking & Measurement",Google Search Console,Manual Review,Medium,A,gsc_api: property verified
ANA-04,ANA,"01. Analytics, Tracking & Measurement",Microsoft Clarity,Manual Review,Medium,A,tagdetect: clarity.ms script
ANA-05,ANA,"01. Analytics, Tracking & Measurement",Microsoft Bing Webmaster Tools,Manual Review,Medium,A,tagdetect: bing verification meta / manual flag
ANA-06,ANA,"01. Analytics, Tracking & Measurement",Meta Pixel,Manual Review,Medium,A,tagdetect: connect.facebook.net pixel
ANA-07,ANA,"01. Analytics, Tracking & Measurement",LinkedIn Insight Tag,Manual Review,Medium,A,tagdetect: snap.licdn.com insight tag
ANA-08,ANA,"01. Analytics, Tracking & Measurement",Google Ads Conversion Tracking,Manual Review,Medium,A,tagdetect: googleads conversion snippet
ANA-09,ANA,"01. Analytics, Tracking & Measurement",Google Ads Remarketing Tag,Manual Review,Medium,A,tagdetect: google_remarketing tag
ANA-10,ANA,"01. Analytics, Tracking & Measurement",Call Tracking,Manual Review,Medium,A,tagdetect: known call-tracking vendor scripts
ANA-11,ANA,"01. Analytics, Tracking & Measurement",Heatmap implementation,Manual Review,Medium,A,tagdetect: hotjar/clarity/ms heatmap scripts
ANA-12,ANA,"01. Analytics, Tracking & Measurement",Cookie Consent implementation,Manual Review,Medium,A,"tagdetect: CMP vendor (OneTrust, Cookiebot, etc.)"
GSC-01,GSC,01. Analytics — Google Search Console,Total clicks,Google Search Console,Medium,A,Google Search Console
GSC-02,GSC,01. Analytics — Google Search Console,Total impressions,Google Search Console,Medium,A,Google Search Console
GSC-03,GSC,01. Analytics — Google Search Console,Average CTR,Google Search Console,Medium,A,Google Search Console
GSC-04,GSC,01. Analytics — Google Search Console,Average position,Google Search Console,Medium,A,Google Search Console
GSC-05,GSC,01. Analytics — Google Search Console,Indexed pages,Google Search Console,Medium,A,Google Search Console
GSC-06,GSC,01. Analytics — Google Search Console,Excluded pages,Google Search Console,Medium,A,Google Search Console
GSC-07,GSC,01. Analytics — Google Search Console,Crawled - currently not indexed,Google Search Console,Medium,A,Google Search Console
